date,country,cases,cases_7ra
2021-03-15,Malaysia,1208,1426
2021-03-16,Malaysia,1063,1395
2021-03-17,Malaysia,1219,1362.2857142857142
2021-03-18,Malaysia,1213,1300.2857142857142
2021-03-19,Malaysia,1576,1300.4285714285713
2021-03-20,Malaysia,1671,1329.142857142857
2021-03-21,Malaysia,1327,1325.2857142857142
2021-03-22,Malaysia,1116,1312.142857142857
2021-03-23,Malaysia,1384,1358
2021-03-24,Malaysia,1268,1365
2021-03-25,Malaysia,1360,1386
2021-03-26,Malaysia,1275,1343
2021-03-27,Malaysia,1199,1275.5714285714287
2021-03-28,Malaysia,1302,1272
2021-03-29,Malaysia,941,1247
2021-03-30,Malaysia,1133,1211.142857142857
2021-03-31,Malaysia,1482,1241.7142857142858
2021-04-01,Malaysia,1178,1215.7142857142858
2021-04-02,Malaysia,1294,1218.4285714285713
2021-04-03,Malaysia,1638,1281.142857142857
2021-04-04,Malaysia,1349,1287.857142857143
2021-04-05,Malaysia,1070,1306.2857142857142
2021-04-06,Malaysia,1300,1330.142857142857
2021-04-07,Malaysia,1139,1281.142857142857
2021-04-08,Malaysia,1285,1296.4285714285713
2021-04-09,Malaysia,1854,1376.4285714285713
2021-04-10,Malaysia,1510,1358.142857142857
2021-04-11,Malaysia,1739,1413.857142857143
2021-04-12,Malaysia,1317,1449.142857142857
2021-04-13,Malaysia,1767,1515.857142857143
2021-04-14,Malaysia,1889,1623
2021-04-15,Malaysia,2148,1746.2857142857142
2021-04-16,Malaysia,2551,1845.857142857143
2021-04-17,Malaysia,2331,1963.142857142857
2021-04-18,Malaysia,2195,2028.2857142857142
